TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,87.9834,no,18-24,south asian,unknown,Unknown,0.2033,27.1207,9.6907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.4224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0000,1,98.4392,no,under 18,caucasian,female,Smiley,-3.2640,-13.5253,10.5958,99.9290,0.0002,0.0003,0.0000,0.0001,2.3181,0.0001,99.8788,99.9450,99.9450,0.0017,0.3412,0.0001,0.0000,0.1102,0.0000,0.0039,0.0000,0.0321,0.0000,99.5064,0.0002,0.0000,84.4873,91.3661,0.0008,0.0077,0.0257,2.4247,61.6240,0.0020,85.1066,0.0018,0.0018,0.0018,0.0001,0.0000,0.0018,2.2977,2.2982,0.0019,0.2756,
0.0000,2,84.8618,yes,35-44,black african,male,Unknown,5.9292,7.8911,-3.1572,0.0018,0.0084,0.4192,0.0128,0.0040,0.3357,0.1905,0.2036,2.1226,0.2166,0.0369,2.1226,0.0000,0.0001,0.0001,0.0000,0.0061,0.0002,0.0008,0.0000,16.8994,0.0464,0.0000,94.3842,0.0005,0.0007,0.0000,0.0548,0.0003,6.2073,0.0018,0.0017,0.0017,0.0018,0.0018,0.0040,0.0000,0.0018,2.2977,2.2981,0.0018,0.0477,
0.0000,3,95.8521,yes,35-44,east asian,male,Unknown,-11.3562,10.3246,24.7327,0.0018,0.0045,0.4255,0.0187,0.0058,0.1927,0.2117,-4.5375,0.0052,0.0052,0.0000,0.0000,0.0011,0.0001,0.0000,0.0000,0.0210,0.0008,15.1144,0.0057,0.0000,0.8926,0.0000,91.1741,0.0000,0.0000,0.0019,2.8034,0.0001,0.0016,0.0018,0.0018,0.0018,0.0018,0.0018,0.0058,0.0000,0.0019,2.2979,2.2979,0.0018,0.0280,
0.0000,4,78.1835,yes,25-34,east asian,unknown,Unknown,-8.8999,10.2401,3.0146,0.0018,0.0046,0.4273,0.0237,0.0045,0.1969,0.1927,21.4633,0.2723,0.0009,0.0000,0.2723,0.0000,0.0010,0.0001,0.0000,0.0014,0.0022,0.0193,0.0000,0.1926,0.0039,0.0001,91.3092,0.0000,53.6729,2.4114,0.0241,0.0000,0.0132,0.0018,0.0338,0.0338,0.0018,0.0018,0.0045,0.0000,2.2461,2.3719,2.3719,0.0018,0.0288,
0.0000,5,68.5888,no,45-54,east asian,female,Unknown,-6.1954,-1.3862,-6.8399,0.0018,0.1288,0.4420,0.0009,0.0044,2.3856,0.1927,-0.3696,0.7657,0.0000,0.0000,0.7657,0.0043,0.0031,0.7342,0.0000,0.0000,0.0001,0.0000,0.0000,99.6352,0.0001,0.0000,98.4059,0.0000,0.0010,0.0166,0.0000,0.0000,0.4150,0.0018,0.0018,0.0018,0.0018,0.0018,0.0044,0.0000,0.0018,2.2978,2.2978,0.0018,0.0317,
0.0000,6,66.1044,no,55-64,caucasian,female,Unknown,-1.8839,11.2803,-2.8499,0.0018,0.1216,0.4259,0.0009,0.0045,2.2227,0.1927,-0.0047,0.0059,0.0000,0.0000,0.0002,0.0059,0.0000,0.0001,0.0041,0.0000,0.0000,0.0000,0.0000,98.6594,0.0001,0.0000,89.5102,0.0000,0.0000,0.0381,0.0000,0.0000,2.2413,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.2977,0.0018,0.0303,
0.0000,7,73.7970,no,65 plus,caucasian,male,Relaxed,-9.2222,15.2923,-5.3872,99.7710,0.0000,0.0005,0.0001,0.0000,0.1123,0.0002,93.8999,98.7745,98.7745,1.8253,0.0002,13.3806,2.6194,0.1809,0.0000,0.4420,0.0025,0.0185,0.0000,15.7621,1.0541,0.0000,79.2742,0.0001,4.4680,1.3531,0.0015,0.0115,0.0001,98.0551,0.0054,0.0007,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.2977,0.0018,0.0280,
0.0000,8,69.5950,no,45-54,east asian,female,Unknown,8.4317,2.8992,8.3586,0.0000,3.2930,0.4341,26.8917,34.4548,0.0001,1.2090,-29.7571,98.4939,0.0000,0.0000,0.0000,98.4939,0.0038,0.4134,0.0000,0.0011,0.0192,0.0000,0.0000,1.6151,0.0000,44.5341,97.8546,0.0000,0.0000,98.6050,0.0000,0.0000,0.0404,0.0001,0.0000,0.0000,0.0018,0.0018,34.4548,0.0000,0.0046,2.2977,2.2977,0.0018,0.0280,
0.0000,9,60.9306,no,55-64,caucasian,male,Unknown,2.1931,-18.1623,-5.0916,0.0018,0.0046,0.4519,0.0239,0.0045,0.1948,0.1927,-0.5254,0.9028,0.0001,0.0000,0.1756,0.0000,0.1466,0.9028,0.0000,0.0013,0.0000,0.0010,0.0001,0.0014,0.0003,0.0000,68.2987,0.0817,0.0000,0.0000,0.0000,0.0000,0.0250,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2977,2.3000,0.0019,0.0280,
0.0000,10,71.5659,no,under 18,south asian,female,Unknown,-5.5453,22.7395,0.0187,0.0029,0.1079,0.5394,0.0007,0.0039,2.2977,0.1603,-2.3086,9.5241,2.4644,0.0068,0.0000,0.0039,0.0078,9.5241,0.0000,0.0135,0.0000,0.0000,0.0000,100.0000,0.0021,0.0000,46.3093,0.0000,0.0004,0.0020,0.0000,0.0000,2.1749,0.0018,0.0025,0.0018,0.0018,0.0018,0.0039,0.0000,0.0018,2.2978,2.2978,0.0018,0.0303,
0.0000,11,56.6058,no,35-44,east asian,unknown,Unknown,0.2517,28.6426,0.4848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.9404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
