TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,64.1952,no,35-44,caucasian,male,Smiley,-2.4677,12.5375,-34.3622,99.8706,0.0002,0.0006,0.0000,0.0000,2.2959,0.0001,94.2353,96.5662,96.5662,0.0007,0.0000,0.0006,3.1600,0.1313,0.0000,0.3294,0.0000,1.9593,0.0001,99.9671,0.0001,0.0000,86.9040,0.0028,0.0041,15.5373,0.0009,0.0000,99.9973,0.0018,75.9788,0.0015,0.0018,0.0018,0.0000,0.0000,0.0018,2.2978,2.5876,0.0018,1.0503,
0.0000,1,67.3625,no,under 18,hispanic,unknown,Smiley,9.7380,4.9569,4.1971,99.9269,0.0002,0.3217,0.0000,0.0000,2.7436,0.0001,75.8043,99.7115,99.7115,4.8521,0.0000,0.0000,45.4097,0.0535,0.0000,0.0012,0.0000,0.0272,0.0000,99.9986,0.2884,0.0000,96.7973,0.0000,99.8392,0.4283,0.0000,0.0001,99.9998,0.0018,98.0635,0.0156,0.0018,0.0018,0.0000,0.0000,0.0447,2.7331,2.7331,0.0018,1.0504,
0.0000,2,62.2707,no,35-44,black african,male,Wink,-2.0651,-8.6303,8.6776,99.9306,0.0002,70.9687,0.0000,0.0000,2.2981,0.0001,33.2031,100.0000,100.0000,0.0049,0.0000,0.0000,71.1175,62.4710,0.0000,0.0040,0.0000,0.0000,0.0000,99.9993,0.0000,0.0000,93.5471,0.0001,98.4690,7.0029,0.0000,0.0016,99.8684,0.0018,88.2566,0.0022,0.0018,0.0018,0.0000,0.0000,99.9287,2.3024,2.3024,0.0018,1.0454,
0.0000,3,65.0226,no,55-64,caucasian,male,Wink,3.2441,-0.2031,-25.7799,21.5511,0.1902,0.0016,0.0036,0.1178,0.0013,0.0023,62.2492,99.8616,92.8385,0.6601,0.0000,99.8616,0.8903,0.0003,0.0000,0.0009,0.0000,0.0387,0.0019,97.3987,6.3705,0.0002,98.7375,0.0000,0.0623,99.9656,0.0000,0.0000,99.2275,0.0001,0.1630,0.0000,0.0018,0.0018,0.1178,0.0000,99.8813,2.2993,2.2993,0.0018,1.0216,
0.0000,4,68.2708,no,55-64,east asian,male,Unknown,9.6728,-2.7368,-0.1216,0.0019,0.0647,9.3541,0.0016,0.0043,1.4235,0.1918,-34.5627,68.2456,0.2990,0.0009,0.1150,0.0067,1.5366,68.2456,0.0057,0.0001,0.0000,0.0004,0.0000,80.2217,0.1646,0.0000,97.9217,0.0000,0.0895,97.5437,0.0000,0.0000,99.9999,0.0019,0.0017,0.0016,0.0018,0.0018,0.0043,0.0000,0.0021,2.2981,2.2981,0.0018,1.0679,
0.0000,5,61.3738,no,65 plus,caucasian,male,StuckOutTongueWinkingEye,22.3082,-1.3538,0.8467,0.0000,2.9386,99.9988,0.1470,0.2890,0.0165,0.5779,-100.0000,68.0827,0.0000,0.0001,0.0000,58.6972,99.9480,68.0827,0.0704,2.1470,0.0000,0.0000,0.0003,77.7542,0.0160,0.0000,98.4160,0.0235,0.0000,3.0331,0.0000,0.0000,99.9998,0.0002,0.0000,0.0000,0.0018,0.0019,0.2890,0.0000,0.0018,100.0000,74.3151,0.0018,1.0504,
0.0000,6,59.0687,no,45-54,black african,unknown,Scream,13.5391,0.8855,-4.1205,0.0005,0.3934,21.0573,0.0004,0.0009,16.4453,0.1927,-49.3991,94.6150,0.0001,0.0000,33.9928,0.0000,0.0318,94.6150,0.0158,6.8891,0.0077,0.0001,0.0000,99.9993,0.0008,0.0000,98.5556,0.0000,0.0050,3.6581,0.0000,0.0000,100.0000,0.0005,0.0005,0.0005,0.0018,0.0018,0.0009,0.0000,0.0018,2.3044,59.0626,0.0018,59.8438,
0.0000,7,57.9638,no,35-44,caucasian,female,Smiley,-11.9270,-4.8148,13.3142,99.9306,0.0001,0.0003,0.0000,0.0000,2.0959,0.0001,99.9639,99.9998,99.9998,0.0062,0.0000,0.0000,0.0309,0.0074,0.0000,0.0001,0.0000,0.0497,0.0000,96.2314,0.0001,0.0000,96.8842,0.0001,0.0001,0.0000,0.0044,83.8763,26.4110,0.0036,79.1881,0.0018,0.0018,0.0018,0.0000,0.0000,0.0018,2.2977,2.3017,0.0018,0.0730,
0.0000,8,53.2865,no,55-64,black african,male,Relaxed,4.8812,-5.0846,-0.8666,99.9306,0.0000,16.0045,0.0000,0.0000,0.3313,0.0001,53.1846,100.0000,100.0000,0.0000,0.0000,0.0000,70.6990,0.0003,0.0000,37.1120,0.0000,1.1020,0.0052,21.7371,0.0000,0.0000,96.7172,0.0001,100.0000,0.2824,0.0065,0.3608,34.4468,96.5126,0.0398,0.0025,0.0018,0.0018,0.0000,0.0000,83.1864,2.2977,2.2977,0.0018,0.0978,
0.0000,9,53.6805,no,55-64,black african,male,Scream,4.5456,-3.0640,-21.0086,97.4304,0.0045,0.0034,0.0000,0.0000,92.3405,0.0001,72.6778,99.9630,99.9630,0.0000,99.8425,0.0000,6.8312,34.0474,0.0080,22.9239,0.0000,0.0005,0.0000,99.9754,0.0000,0.0000,97.7843,89.5603,1.4107,0.0046,0.0000,0.0000,99.6254,0.0000,9.6474,0.0000,0.0018,0.0018,0.0000,0.0000,99.8948,2.2997,2.2997,0.0018,99.9953,
